iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
230965,126778.97,-3.65,-2.54,0.91,167.02,-178.47,78.30,6.56,6.58,-1.33
232105,217723.48,-246.77,-4.67,-109.71,44.63,3.45,30.95,2.44,4.94,-2.39
232367,263880.15,24.85,-42.53,77.54,44.82,72.31,-44.47,4.05,4.97,-2.43
234912,84292.55,-2.56,-4.81,-1.90,165.64,-104.90,-22.74,6.42,4.10,-1.44
235078,212084.13,-145.12,84.69,215.53,113.58,-43.69,-41.64,2.22,4.67,-4.46
237451,156662.76,55.72,63.53,269.42,1.35,8.44,-73.54,2.17,4.93,-2.77
239396,212084.13,-180.65,150.08,116.32,103.85,-58.60,-66.31,2.70,4.73,-4.68
239433,212084.13,-205.95,149.64,-104.88,80.97,-66.46,-47.93,1.97,4.63,-4.93
239660,212084.13,-242.14,142.62,-36.74,76.77,-73.68,-70.47,2.26,4.67,-4.88
239743,212084.13,-221.35,116.61,-105.87,84.43,-80.90,-56.78,2.15,4.60,-5.38
240215,93274.59,0.44,-1.32,-0.21,175.87,86.37,18.02,7.61,6.28,-1.23
240832,163784.68,4.16,5.59,0.99,-133.41,142.10,-27.31,6.12,5.90,-1.90
242001,175755.68,-0.03,8.09,-0.22,-187.35,-40.11,0.04,6.50,6.63,-1.48
243132,221741.37,26.79,-39.82,81.58,45.42,65.65,-58.89,4.92,4.08,-2.48
245340,153546.15,-1.99,10.09,2.88,-126.73,7.08,-47.09,5.96,5.89,-2.06
247566,212084.13,-232.37,115.50,-115.56,87.46,-73.34,-50.51,1.92,4.78,-4.93
250211,104251.16,-2.16,5.56,2.64,-234.20,-75.94,-9.87,6.21,5.67,-1.46
254416,188886.95,-3.53,-3.35,-1.69,66.32,-137.34,-32.80,5.97,6.13,-1.40
276545,212084.13,-176.07,120.58,160.76,115.43,-44.04,-52.32,2.48,4.74,-6.82
279537,140515.34,4.82,-4.27,1.23,151.50,166.14,-86.63,7.14,4.06,-1.50
282626,114058.89,6.90,5.18,1.74,-74.52,173.07,26.76,5.66,6.38,-1.61
285554,88971.36,-0.55,-5.86,0.05,252.95,5.32,1.87,7.48,4.06,-1.50
285610,147403.11,-1.08,-3.80,1.99,167.36,-51.64,34.16,6.02,6.55,-1.37
287140,90437.15,-5.34,3.17,0.25,-90.59,-160.96,3.55,7.99,4.12,-1.47
288118,132233.64,-0.90,5.68,-0.76,-233.79,-4.70,19.45,7.15,5.72,-1.49
288697,217387.76,-1.53,5.65,-1.21,-206.45,-83.49,-5.94,7.57,4.01,-1.52
290217,174373.88,0.53,13.01,3.54,-93.41,44.39,8.06,5.52,5.85,-1.98
293737,66162.21,-2.57,-6.66,4.45,141.95,-63.44,-28.44,5.71,6.12,-1.56
295812,94396.58,2.56,-4.88,0.23,242.58,163.84,30.13,7.25,5.52,-1.44
296260,129863.25,-1.91,4.46,0.27,-217.71,-38.60,1.72,8.31,4.02,-1.42
297532,178781.37,-6.18,3.97,1.29,-127.50,-152.24,-42.91,7.19,4.08,-1.54
298642,146550.38,-3.73,13.86,-3.48,-109.68,-3.05,29.10,5.35,6.10,-2.11
298923,97880.44,0.30,-10.42,2.66,121.44,48.49,7.33,5.75,6.09,-1.92
299445,91649.50,20.60,-55.86,107.61,37.74,42.33,-28.33,4.73,4.11,-2.50
302924,173259.40,-5.44,3.99,0.33,-157.33,-160.26,-12.33,7.64,4.01,-1.51
306432,213152.73,-6.32,11.42,-3.93,-95.41,-42.15,20.08,5.51,5.94,-2.27
307107,65585.43,-6.63,8.44,2.64,-98.58,-91.75,-12.63,5.95,5.88,-1.79
307607,65125.90,4.46,12.45,4.29,-100.59,45.59,-21.64,5.56,5.92,-1.82
308150,212084.13,-202.13,135.32,-136.24,87.66,-77.59,-53.00,1.93,4.32,-5.52
308735,137976.15,-1.18,13.01,-8.62,-85.92,-32.09,11.15,5.18,6.09,-2.07
309805,144056.12,6.79,-2.42,-2.99,95.69,136.72,14.54,6.32,6.10,-1.54
309833,212555.86,-0.44,14.07,-6.34,-106.37,-6.26,-7.47,5.33,5.97,-2.24
312129,212084.13,-239.29,176.60,-1.86,74.11,-76.12,-56.85,2.29,4.62,-5.49
312321,142172.99,3.80,-3.26,1.23,126.88,213.24,-19.30,7.01,4.08,-1.40
313941,113680.39,4.91,-3.64,3.28,73.87,103.92,-49.71,5.80,6.10,-1.64
315471,212609.28,17.57,-1.35,-4.00,-10.92,139.76,2.63,5.14,5.89,-2.32
316177,162689.27,4.83,-6.12,-0.15,247.25,108.56,-0.21,7.41,4.04,-1.54
316306,81138.50,5.25,-0.64,1.42,54.65,206.38,8.88,6.60,4.12,-1.44
316347,303799.49,0.36,5.15,0.98,-236.88,16.04,12.95,7.63,4.02,-1.54
317312,162785.86,5.73,1.97,0.46,-78.16,233.92,10.39,7.85,4.03,-1.49
320964,212084.13,-204.13,154.63,-124.28,88.54,-71.63,-57.02,1.88,4.41,-5.78
326769,156152.96,-3.95,-5.48,-3.26,117.77,-115.99,26.23,5.86,6.19,-1.84
330124,270990.09,30.37,-32.44,69.85,9.86,55.02,-66.52,4.53,4.20,-2.35
331136,108779.50,-1.18,4.89,2.90,-127.49,-7.70,62.88,6.06,6.19,-1.42
358448,212084.13,-180.65,113.39,190.63,114.36,-36.64,-45.93,2.32,5.05,-5.00
363304,126415.09,-10.03,-5.45,-1.94,49.89,-97.51,43.04,5.61,6.11,-2.03
363821,160399.31,-3.00,8.92,0.52,-170.98,-39.55,-10.87,7.28,4.03,-1.52
365040,212084.13,-184.60,128.79,178.55,115.68,-38.17,-43.95,2.37,4.89,-6.03
367154,95256.30,-165.24,-56.56,224.55,51.08,10.75,-59.74,2.16,4.72,-2.04
367857,149496.87,5.29,1.86,0.25,-70.12,254.83,14.31,7.93,4.03,-1.49
368525,212189.56,-190.15,187.53,115.17,102.80,-57.97,-40.22,2.63,4.71,-4.80
370499,90544.39,-0.19,5.38,0.46,-258.13,48.68,45.09,7.15,6.12,-1.47
371593,116915.64,4.48,-3.96,-0.04,180.79,153.30,43.11,7.49,4.13,-1.38
379048,102137.96,-5.67,7.85,-1.46,-189.56,-93.40,-23.20,6.09,6.27,-1.51
382093,212721.27,23.78,-35.97,88.02,54.74,56.01,-66.61,5.26,4.01,-2.57
382400,161573.65,-6.82,-1.41,-0.06,123.84,-176.20,26.67,6.97,4.07,-1.54
383950,77088.90,5.59,-9.07,-2.36,139.27,84.47,40.72,5.69,5.99,-1.57
385493,139691.60,15.82,-10.52,23.19,-79.58,94.55,-169.40,5.10,4.16,-2.40
386665,212084.13,-177.18,120.71,198.19,112.02,-36.19,-42.53,2.46,4.60,-5.77
387029,212084.13,-176.66,156.39,115.01,100.40,-59.65,-52.25,2.73,4.74,-5.14
388965,104939.89,30.96,-42.46,77.75,27.20,63.85,-65.07,4.68,4.13,-2.46
391247,212084.13,-190.47,119.35,-142.60,89.31,-72.09,-37.56,2.17,4.48,-5.38
391446,212084.13,-158.90,99.83,228.28,114.89,-55.09,-36.12,2.08,4.65,-5.09
391576,212084.13,-184.33,123.15,197.22,105.90,-31.41,-41.06,2.49,4.65,-5.61
391606,212084.13,-197.00,150.61,-132.90,85.75,-69.98,-48.47,1.97,4.45,-5.41
394169,152333.81,-5.63,6.57,-0.72,-104.02,-143.61,24.89,7.65,4.00,-1.62
394678,91258.04,1.16,6.92,-0.42,-194.46,69.59,18.08,6.22,5.74,-1.49
400088,212084.13,-230.02,135.81,-25.30,78.15,-75.92,-60.26,2.28,4.70,-4.96
401644,100155.63,16.15,-55.86,115.56,33.74,26.68,-19.49,4.73,4.11,-2.56
401883,168814.33,-4.92,8.56,-5.58,-94.61,-86.93,25.74,5.51,6.04,-2.23
405870,75070.89,1.01,2.43,0.20,-263.08,99.96,-6.75,7.93,4.04,-1.35
408770,200281.77,6.80,-4.93,1.18,113.91,115.92,52.35,6.36,6.35,-1.42
411377,140679.10,-10.78,-0.16,2.71,-4.81,-113.96,33.94,5.64,5.91,-1.61
418014,265900.22,6.23,-4.49,-0.88,171.56,172.76,-19.39,7.91,4.00,-1.46
421499,215018.25,-0.10,10.13,3.78,-136.63,38.62,-45.49,5.75,5.96,-2.08
422059,212084.13,74.51,270.08,27.17,-9.28,-113.27,16.71,2.24,4.85,-6.47
426659,212084.13,-2.54,293.16,10.13,8.77,-95.62,-0.24,1.96,4.81,-5.74
426872,212084.13,-7.23,287.43,4.35,-0.66,-104.97,-1.99,1.99,4.74,-5.73
450699,143321.54,-4.26,-2.62,0.61,143.46,-186.04,0.71,7.75,4.02,-1.48
455781,214708.99,14.33,65.81,276.09,11.17,11.74,-66.39,2.20,4.93,-2.71
457798,103479.49,-5.46,6.51,1.23,-124.68,-149.38,-37.84,6.88,4.08,-1.52
463178,115206.66,4.74,-7.19,-0.63,207.88,81.38,-13.90,7.50,4.02,-1.48
463473,212084.13,-209.62,167.53,120.19,107.50,-50.96,-48.66,2.63,4.60,-5.04
464209,146309.28,3.06,6.93,-0.59,-198.91,67.09,-14.46,7.15,4.04,-1.61
464311,226848.86,12.10,5.86,-3.07,-63.61,126.44,15.45,5.42,6.04,-2.32
467631,96678.65,5.62,-0.97,-0.78,63.30,236.65,-12.38,7.37,4.06,-1.45
467888,121012.41,-2.91,-4.61,-0.21,225.41,-132.98,-28.09,7.97,4.01,-1.48
469049,215148.48,-28.56,155.08,229.77,10.98,-13.44,-53.67,2.27,4.87,-2.65
469399,120544.20,-5.13,-7.51,-0.84,147.08,-75.92,41.12,5.84,6.32,-1.51
469737,134110.62,-7.91,1.68,0.86,-75.26,-194.17,-22.53,6.17,5.73,-1.47
472310,86736.61,9.45,-7.53,-2.19,94.14,82.56,2.74,5.57,6.06,-1.78
474050,125933.77,1.14,-5.86,-1.16,220.48,47.08,-64.35,6.89,6.01,-1.41
476007,124697.06,-2.09,2.89,-0.63,-182.87,-111.73,-47.29,6.62,6.30,-1.42
477964,135560.08,-9.97,-0.03,-1.52,-7.84,-117.03,6.87,5.82,5.99,-1.55
478663,217374.15,7.39,-2.40,0.14,51.39,217.19,37.42,7.81,4.01,-1.70
479547,212084.13,-174.94,107.86,209.83,119.90,-41.10,-33.52,2.35,4.67,-5.36
479875,212084.13,-170.41,75.72,217.98,109.51,-49.03,-49.23,2.21,4.60,-4.33
480465,79044.79,-6.93,4.70,4.07,-152.43,-42.01,12.01,5.70,6.20,-1.47
480594,145940.17,-9.15,-1.75,-1.08,8.36,-136.46,18.63,5.86,5.92,-1.53
485227,135729.51,-5.70,-6.55,3.16,133.51,-39.68,-34.33,5.80,6.02,-1.55
487757,177393.93,25.59,-42.20,89.96,45.48,48.45,-50.29,5.13,4.03,-2.51
488650,212084.13,-178.87,165.85,104.59,97.79,-64.35,-52.68,2.60,4.73,-5.36
488684,212084.13,-217.65,125.49,-97.18,80.72,-77.38,-44.76,2.20,4.66,-5.19
488988,212084.13,-243.84,136.46,-51.34,82.01,-80.38,-61.72,2.23,4.66,-4.95
489872,131361.06,2.56,-6.96,2.09,162.77,108.15,-34.10,6.24,5.98,-1.44
491020,213636.99,-0.42,10.81,-5.34,-115.59,-25.55,36.99,5.34,5.94,-2.32
491448,81858.53,-1.91,8.86,0.02,-148.29,-68.51,24.50,6.42,4.09,-1.56
491628,104821.35,-4.66,9.38,0.37,-224.32,-16.81,-50.47,6.47,4.10,-1.49
494464,183524.18,-6.11,10.09,-4.91,-97.68,-51.35,8.14,5.43,6.14,-2.19
497099,212084.13,-181.64,171.87,116.44,93.57,-62.95,-47.64,2.60,4.82,-5.90
497142,212084.13,-185.41,180.27,120.64,95.92,-64.22,-48.48,2.57,4.84,-5.87
497768,184639.66,30.47,-42.23,77.03,35.03,63.59,-62.91,4.78,4.11,-2.43
500779,212084.13,-181.19,194.59,124.84,91.80,-75.76,-41.47,2.38,4.93,-5.59
502391,217356.48,3.75,11.64,-6.08,-113.97,8.49,32.72,5.36,5.91,-2.34
507428,219352.75,-3.05,3.44,-0.19,-192.33,-158.85,17.95,7.89,4.03,-1.35
508330,212084.13,-227.59,139.08,-93.19,75.94,-79.66,-50.36,2.16,4.79,-5.26
509853,212263.12,-249.52,-34.78,-108.49,56.27,2.33,24.94,2.32,4.90,-2.45
510609,121247.67,12.54,4.04,-2.44,-59.44,118.84,-7.94,5.46,5.97,-2.23
511398,212435.36,-247.89,-43.13,-100.60,58.11,11.88,24.96,2.34,4.94,-2.92
513228,84860.21,-8.26,0.55,-2.56,-32.74,-114.46,18.87,6.02,5.76,-1.56
514818,212084.13,57.45,274.38,29.48,3.54,-95.77,13.15,2.12,4.79,-5.87
515023,212084.13,12.93,298.06,16.44,3.50,-85.93,-6.05,1.88,4.92,-5.73
517163,212273.70,-255.28,3.61,-82.32,32.30,-4.65,26.41,2.24,5.01,-2.91
518094,212084.13,78.05,273.20,7.37,-3.13,-106.49,-0.98,2.28,4.88,-5.79
519511,212084.13,64.30,284.01,20.38,11.06,-118.38,16.68,2.10,4.79,-5.56
519960,212084.13,73.33,290.40,13.71,1.55,-101.84,6.27,2.12,4.73,-6.02
521437,212084.13,80.27,286.23,9.97,-4.01,-101.27,7.91,2.28,5.04,-5.39
521473,212084.13,98.14,271.20,24.71,-6.46,-86.31,19.51,2.29,4.97,-6.83
521547,212084.13,89.60,278.67,15.82,-12.21,-99.22,16.32,2.41,4.95,-6.52
521822,212084.13,81.72,264.86,22.74,-13.89,-106.13,11.83,2.36,4.96,-6.76
544050,212084.13,99.59,-263.53,-98.69,-16.13,128.51,26.76,2.69,5.09,-5.59
549196,213676.07,1.57,11.95,-5.89,-128.92,-23.50,34.98,5.33,5.81,-2.33
552520,81094.44,-6.12,0.55,-0.71,18.63,-229.17,-4.47,6.73,5.73,-1.49
552653,105851.91,-2.36,6.19,-2.22,-186.61,-52.97,-13.70,6.83,4.07,-1.52
554471,89892.66,-3.95,-8.11,1.93,181.54,-85.37,-6.01,5.76,6.31,-1.52
555076,162456.20,1.13,15.68,0.26,-126.76,48.80,-7.37,5.39,5.74,-2.08
556232,153411.65,-9.27,-2.57,-1.67,-5.82,-144.50,6.22,5.84,5.98,-1.52
557487,163017.25,-10.50,5.45,-5.66,-20.56,-69.03,30.21,5.37,5.97,-2.07
557723,153971.12,-7.99,0.94,0.05,2.29,-183.86,-43.70,7.34,4.05,-1.49
557866,101832.61,-5.00,-5.22,3.77,118.22,-74.46,18.09,5.86,5.93,-1.67
