iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
## UNITS
NoUnit(),Msol,kpc*a,kpc*a,kpc*a,km s**-1*a,km s**-1*a,km s**-1*a,log(Msol kpc**-3),log(NoUnit()),log(NoUnit())
## MAX
895557,106958.84,3.83,9.97,-1.09,-148.58,79.90,3.09,6.80,4.05,-1.55
899625,116622.96,3.68,9.60,-1.49,-186.81,59.56,24.63,7.11,4.02,-1.52
899724,212498.49,35.13,-13.60,41.85,-13.22,78.95,-169.68,5.29,4.02,-2.43
902268,215714.14,-4.57,-10.71,-1.31,140.66,-55.91,3.21,5.98,4.06,-1.87
902357,70205.95,-0.65,-10.27,0.45,230.79,-37.67,-42.29,6.87,4.04,-1.57
912335,212084.13,171.78,124.27,15.73,-134.69,-119.65,11.46,2.48,4.93,-4.82
922389,212084.13,174.04,-133.49,-153.17,-38.58,-9.55,132.25,2.32,4.94,-4.92
922595,212084.13,207.80,-134.82,-81.78,-28.12,7.49,129.52,2.38,4.92,-4.86
922695,212084.58,204.92,-157.11,-41.51,-41.32,23.22,144.78,2.68,4.99,-4.55
922898,212084.13,201.52,-136.76,-71.53,-17.89,8.06,121.59,2.49,4.94,-4.37
939742,212084.13,124.22,-207.20,-90.52,-33.37,104.67,62.96,2.47,4.99,-5.54
940595,212092.45,100.67,-226.21,-79.17,7.33,125.16,26.69,2.59,4.91,-4.28
944378,215583.66,-0.57,-10.18,-0.38,237.48,-62.74,-1.56,6.51,4.08,-1.58
946410,157440.28,5.23,9.11,-1.93,-175.81,94.55,21.79,6.54,4.07,-1.50
946676,219006.85,-10.75,-1.51,-0.69,80.89,-163.02,16.57,6.26,4.07,-2.00
948663,214919.82,4.24,9.93,-1.01,-186.27,22.55,1.86,7.01,4.04,-1.71
949530,172292.57,-4.55,-8.98,-0.65,205.21,-91.44,-20.72,7.17,4.04,-1.60
950984,87056.36,6.58,3.61,-4.66,-106.14,45.61,83.39,6.31,4.09,-1.51
951697,128896.56,-0.39,11.06,0.03,-190.65,12.51,3.62,6.41,4.09,-1.50
965768,114045.87,31.91,-24.07,49.69,-36.16,48.81,-136.52,5.02,4.07,-2.58
965948,216081.99,-7.48,-8.95,-0.07,150.12,-129.09,-33.38,6.86,4.04,-1.61
966034,198681.00,7.32,-1.83,10.22,-52.67,76.30,-180.52,5.58,4.13,-2.14
966981,164078.92,-8.22,-9.04,0.28,140.88,-138.12,-14.51,6.83,4.04,-1.55
970790,165755.57,-7.71,-8.92,0.21,149.41,-141.90,-44.96,6.93,4.03,-1.60
971795,212084.13,-215.47,133.68,-70.06,56.82,-98.64,-65.49,2.14,4.93,-5.01
973023,81867.13,2.21,7.35,-6.86,-123.56,80.83,-25.14,5.55,4.13,-1.46
974393,161139.51,-236.23,-8.75,-86.17,46.83,-32.43,38.60,2.52,4.99,-2.40
974470,117182.08,1.56,11.60,-1.67,-185.80,-12.14,8.04,6.78,4.06,-1.53
980443,223689.03,-8.53,-6.22,0.96,140.59,-122.25,27.78,6.36,4.06,-1.59
980492,116010.01,4.58,9.56,-0.61,-177.05,57.35,31.84,7.21,4.03,-1.54
981776,104825.34,4.55,9.10,-0.39,-167.61,46.24,-2.38,7.29,4.02,-1.54
991371,98536.98,-0.86,10.17,-0.05,-182.30,-68.68,-28.11,7.20,4.05,-1.54
993016,212737.50,28.44,-8.74,22.02,-55.36,63.96,-173.94,4.86,4.20,-2.52
993336,106307.40,6.15,8.31,-0.58,-177.32,70.87,18.89,7.18,4.03,-1.54
993807,212110.23,35.19,-18.48,44.60,-6.77,78.55,-143.61,5.15,4.02,-2.67
995307,133136.85,6.15,7.96,0.57,-167.12,90.21,-14.22,6.84,4.07,-1.56
997766,215490.66,-10.62,1.89,-0.32,13.07,-195.00,5.54,6.05,4.90,-1.79
1000266,213090.55,21.38,-1.84,10.70,-48.35,122.38,-233.14,5.23,4.14,-2.57
1001307,222496.74,31.76,-61.99,103.82,9.48,-25.65,-52.69,3.55,4.98,-2.43
1001512,212881.20,28.05,-15.99,51.15,34.46,62.63,-146.27,4.93,4.11,-2.60
1001997,218418.70,33.62,-68.88,134.20,69.64,20.45,-54.48,4.28,4.21,-2.46
1002182,212084.13,146.77,201.87,-68.91,-94.28,-109.76,6.14,2.30,4.99,-5.20
1005876,212115.45,30.78,-16.57,57.46,2.52,42.73,-131.93,5.00,4.05,-2.75
1005882,212097.46,30.65,-11.42,39.17,-10.88,59.90,-185.30,5.06,4.10,-2.83
1008020,212084.13,207.35,136.15,23.30,-121.20,-104.44,-10.68,2.34,4.75,-4.59
1008025,212084.13,190.89,166.07,-61.80,-123.51,-87.99,19.92,2.35,4.95,-5.02
1008204,212084.13,200.37,155.68,27.62,-131.05,-104.37,11.58,2.42,4.83,-5.31
1008251,212084.13,205.86,152.98,34.61,-127.75,-96.14,13.46,2.38,4.81,-4.93
1009335,212084.13,114.21,221.64,-95.56,-91.33,-107.45,22.48,2.35,4.96,-5.18
1009339,212084.13,163.60,148.46,25.27,-139.22,-109.09,0.83,2.37,4.94,-5.48
1013828,212084.13,217.99,136.29,-35.88,-146.62,-73.83,47.48,2.19,4.97,-4.06
1036894,212084.13,69.80,-244.42,-86.62,-8.03,106.27,12.16,2.77,4.95,-5.26
1038964,212084.13,125.26,-220.74,-83.54,-13.43,114.29,52.98,2.45,4.96,-5.24
1040431,213791.78,34.85,-19.44,52.00,-6.09,48.64,-166.96,5.25,4.02,-2.59
1042875,99055.66,-7.30,-8.79,-0.13,134.88,-111.55,9.90,6.72,4.05,-1.57
1043033,222998.12,2.42,9.92,-1.51,-197.21,20.74,31.31,6.95,4.04,-1.52
1047336,80029.15,-0.73,10.17,-0.03,-194.70,-55.34,-41.11,7.14,4.05,-1.49
1052787,106374.98,1.49,9.91,0.12,-204.09,0.31,33.66,7.55,4.02,-1.53
1057080,106703.87,-1.28,10.35,-2.05,-169.78,-108.20,13.32,6.87,4.07,-1.74
1060355,159745.41,1.88,11.51,-1.44,-173.45,23.54,18.25,7.03,4.03,-1.58
1061139,244778.92,-3.32,-9.67,-0.40,222.02,-77.82,-8.56,6.81,4.05,-1.56
1063064,180790.33,-0.13,10.21,1.96,-179.87,22.67,30.68,6.37,4.07,-1.51
1066262,94825.29,3.69,9.66,-1.79,-184.54,45.36,4.00,7.04,4.04,-1.52
1070455,213369.00,7.73,6.37,0.45,-159.69,132.69,-5.16,7.00,4.04,-1.54
1072478,178340.00,7.50,7.02,0.32,-169.51,97.77,-2.75,6.70,4.06,-1.62
1076917,230977.77,6.31,10.75,0.13,-165.78,46.22,29.33,6.30,4.05,-1.56
1078537,232070.07,33.05,-20.96,47.79,-16.17,55.64,-125.49,5.15,4.04,-2.52
1081485,228121.61,-5.04,9.90,0.90,-167.87,-56.58,3.86,6.00,4.10,-2.13
1081897,159080.98,3.28,9.91,-2.09,-171.15,42.15,10.15,6.42,4.05,-1.51
1086096,214274.42,171.73,149.85,-14.40,-121.89,-118.00,22.26,2.42,4.83,-3.65
1087636,130212.82,5.40,10.08,0.41,-157.80,67.31,5.30,6.80,4.08,-1.54
1090529,216378.98,30.29,-13.66,36.49,-23.81,47.73,-168.13,5.46,4.02,-2.86
1090642,218817.93,44.80,-68.62,150.45,53.03,14.91,-37.73,3.69,4.76,-2.49
1090686,222176.74,46.37,-74.25,147.86,70.42,9.57,-32.82,3.66,4.44,-2.42
1090706,230079.15,28.08,-42.60,83.23,24.97,26.07,-58.08,4.41,4.23,-2.41
1090956,212084.13,161.46,123.17,18.47,-141.09,-118.50,12.47,2.38,4.69,-4.53
1094495,172048.05,6.27,8.07,-0.41,-202.71,108.93,35.74,7.14,4.05,-1.54
1094825,218075.11,32.20,-39.44,83.23,1.93,53.87,-104.79,5.13,4.03,-2.56
1094885,216493.96,35.22,-34.09,74.42,-14.34,46.05,-129.96,4.94,4.08,-2.69
1094902,212129.49,20.10,-34.63,25.74,-5.31,56.44,-89.59,4.80,4.15,-2.45
1094984,212388.04,36.31,-38.28,80.14,-19.75,8.58,-93.50,4.60,4.24,-2.65
1094987,216150.39,-7.15,8.72,-1.29,-118.80,-120.52,14.27,6.13,4.09,-2.08
1095032,212119.88,27.07,-8.10,18.64,-72.28,30.28,-193.28,5.92,4.01,-2.74
1095043,239270.04,41.39,-75.70,138.11,33.86,-14.12,-37.46,3.51,4.64,-2.46
1095069,212118.56,26.35,-48.17,95.04,15.77,38.24,-89.42,5.11,4.04,-2.58
1095077,234884.29,4.72,11.80,-1.95,-166.93,55.98,8.76,6.13,4.04,-1.54
1095114,217035.38,20.97,-84.77,136.71,34.73,20.57,-43.56,3.58,4.52,-2.34
1095456,212084.13,150.55,198.24,-77.08,-115.25,-101.48,16.26,2.25,4.83,-5.82
1097618,222354.71,1.69,10.47,-1.67,-185.30,24.41,-0.72,6.80,4.03,-1.55
1099096,212294.02,13.36,12.44,-4.14,-104.69,70.48,-19.87,5.23,4.10,-2.36
1099097,225289.73,6.85,-63.08,136.64,11.20,-18.52,-57.72,3.80,4.59,-2.48
1099127,237079.72,8.90,-78.84,131.37,23.41,-5.33,-27.70,3.79,4.50,-2.41
1099309,214226.77,32.20,-9.11,34.48,-20.63,45.45,-181.08,5.78,4.00,-2.58
1099324,212104.60,31.30,-18.12,58.73,2.05,42.56,-138.69,5.20,4.02,-2.79
1099390,212084.46,155.87,210.07,-53.77,-66.49,-117.62,-14.98,2.38,4.96,-5.09
1099464,218176.15,25.94,-66.30,125.95,-13.50,-12.89,-52.82,4.73,4.12,-2.60
1099467,216237.42,12.86,-65.47,151.75,24.12,-7.23,-36.59,3.69,4.58,-2.54
1099538,212097.23,27.28,-11.82,48.13,5.69,75.21,-157.22,5.34,4.02,-2.89
1099560,212121.61,32.16,-22.84,37.19,6.76,43.49,-102.97,4.35,4.85,-2.55
1099572,212161.75,27.71,-8.76,19.20,-63.26,76.34,-176.44,5.80,4.01,-2.66
1099585,152293.66,7.19,6.08,-5.56,-247.85,57.97,-25.87,6.60,4.07,-2.44
1099613,212084.13,89.80,184.36,-102.53,-105.62,-110.65,28.64,2.56,4.94,-5.83
1099623,212134.71,20.14,-34.61,25.77,-5.87,56.69,-89.97,4.81,4.15,-2.45
1101599,212086.10,-25.05,-2.60,18.30,49.99,-37.99,-159.55,5.02,4.13,-2.95
1103031,212164.16,-18.05,-38.50,52.46,51.59,5.06,-4.53,4.25,4.33,-2.46
1103232,215200.33,34.65,-21.77,57.82,-15.55,69.32,-151.24,5.11,4.04,-2.69
1103246,217424.28,33.61,-16.09,22.20,-49.07,77.82,-158.50,5.20,4.08,-2.48
1103248,212084.13,112.54,187.17,-125.45,-100.87,-97.86,74.47,2.20,4.92,-3.98
1103259,213418.01,26.50,-8.35,16.54,-64.74,89.09,-163.85,5.00,4.15,-2.48
1103411,212084.13,118.00,168.61,-121.09,-90.90,-84.11,75.62,2.21,4.98,-3.54
1103464,212084.13,140.01,142.56,16.49,-134.89,-126.67,-5.64,2.50,4.84,-5.03
1103494,212084.13,196.71,159.72,38.42,-135.38,-96.64,8.89,2.42,4.65,-4.74
1103575,212084.13,185.51,155.28,7.41,-121.26,-107.57,14.16,2.42,4.94,-4.70
1103688,212084.13,123.35,189.98,-130.55,-86.32,-98.84,86.76,2.21,4.93,-3.83
1103702,212084.13,81.18,181.62,-128.45,-79.09,-114.07,59.25,2.55,4.99,-3.86
1103706,212084.13,151.34,154.52,21.59,-131.40,-113.03,-11.31,2.55,4.76,-5.10
1103919,212084.13,203.01,167.92,18.09,-122.36,-102.27,2.69,2.51,4.74,-4.91
1103942,212084.13,120.35,207.95,-104.66,-120.97,-101.67,38.80,2.43,4.74,-5.66
1105245,212088.05,-65.53,8.72,95.98,-159.03,-122.02,-77.68,5.19,4.01,-2.98
1105444,214368.91,-48.41,3.58,87.86,-101.50,-97.54,-48.74,4.14,4.49,-2.62
1105874,212084.13,-34.05,42.38,110.80,-163.49,-62.44,-77.94,3.92,4.89,-3.32
1105878,212084.43,-55.22,25.68,107.87,-195.70,-104.61,-56.29,4.62,4.17,-3.36
1106156,212084.14,149.90,123.81,7.54,-144.36,-115.96,12.38,2.48,4.78,-4.39
1106357,212361.43,33.89,-14.32,28.17,-28.27,71.52,-178.07,5.04,4.09,-2.52
1106375,212084.13,150.11,122.83,28.89,-144.67,-114.63,4.39,2.44,4.83,-5.77
